order_item_id	meta_key	meta_value
218	coupon_data	a:24:{s:2:"id";i:4063;s:4:"code";s:8:"jruyqw8x";s:6:"amount";s:3:"150";s:12:"date_created";O:11:"WC_DateTime":4:{s:13:"\0*\0utc_offset";i:0;s:4:"date";s:26:"2021-05-24 11:18:17.000000";s:13:"timezone_type";i:3;s:8:"timezone";s:12:"Asia/Kolkata";}s:13:"date_modified";O:11:"WC_DateTime":4:{s:13:"\0*\0utc_offset";i:0;s:4:"date";s:26:"2021-05-24 11:19:23.000000";s:13:"timezone_type";i:3;s:8:"timezone";s:12:"Asia/Kolkata";}s:12:"date_expires";O:11:"WC_DateTime":4:{s:13:"\0*\0utc_offset";i:0;s:4:"date";s:26:"2021-05-25 00:00:00.000000";s:13:"timezone_type";i:3;s:8:"timezone";s:12:"Asia/Kolkata";}s:13:"discount_type";s:13:"fixed_product";s:11:"description";s:35:"Discount coupon. Use by 24 May 2021";s:11:"usage_count";i:0;s:14:"individual_use";b:0;s:11:"product_ids";a:1:{i:0;i:3382;}s:20:"excluded_product_ids";a:0:{}s:11:"usage_limit";i:0;s:20:"usage_limit_per_user";i:1;s:22:"limit_usage_to_x_items";i:1;s:13:"free_shipping";b:0;s:18:"product_categories";a:0:{}s:27:"excluded_product_categories";a:0:{}s:18:"exclude_sale_items";b:0;s:14:"minimum_amount";s:0:"";s:14:"maximum_amount";s:0:"";s:18:"email_restrictions";a:0:{}s:7:"virtual";b:0;s:9:"meta_data";a:1:{i:0;O:12:"WC_Meta_Data":2:{s:15:"\0*\0current_data";a:3:{s:2:"id";i:44074;s:3:"key";s:32:"_maybe_used_by_1621839746_AUdwS6";s:5:"value";s:2:"10";}s:7:"\0*\0data";a:3:{s:2:"id";i:44074;s:3:"key";s:32:"_maybe_used_by_1621839746_AUdwS6";s:5:"value";s:2:"10";}}}}
218	discount_amount	150
218	discount_amount_tax	0
230	_line_subtotal	295
230	_line_subtotal_tax	0
230	_line_tax	0
230	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
230	_line_total	295
230	_product_id	3130
230	_qty	1
230	_reduced_stock	1
230	_tax_class	
230	_variation_id	0
231	cost	90.00
231	instance_id	4
231	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
231	method_id	flat_rate
231	taxes	a:1:{s:5:"total";a:0:{}}
231	total_tax	0
232	_line_subtotal	145
232	_line_subtotal_tax	0
232	_line_tax	0
